idn,idm
1,227
2,701
3,1132
4,1091
5,152
6,547
7,935
8,1178
9,565
10,287
11,368
12,526
13,1131
14,418
15,685
16,372
17,777
18,176
19,413
20,371
21,219
22,608
23,1126
24,1166
25,136
26,759
27,393
28,858
29,1004
30,1118
31,121
32,1152
33,399
34,927
35,776
36,1095
37,755
38,668
39,199
40,1090
41,164
42,64
43,789
44,171
45,675
46,1171
47,90
48,545
49,944
50,1103
51,998
52,177
53,187
54,704
55,755
56,1070
57,783
58,1134
59,113
60,387
61,139
62,983
63,618
64,1111
65,859
66,41
67,135
68,953
69,40
70,359
71,618
72,52
73,139
74,1166
75,398
76,195
77,385
78,232
79,540
80,470
81,678
82,660
83,306
84,269
85,478
86,25
87,701
88,776
89,949
90,179
91,784
92,635
93,347
94,322
95,459
96,140
97,275
98,763
99,1084
100,941
101,159
102,934
103,757
104,50
105,447
106,691
107,811
108,158
109,949
110,504
111,217
112,434
113,975
114,954
115,35
116,310
117,1044
118,838
119,1062
120,735
121,490
122,8
123,946
124,228
125,323
126,780
127,866
128,449
129,583
130,453
131,422
132,856
133,381
134,382
135,622
136,510
137,1041
138,1075
139,374
140,1105
141,540
142,829
143,1196
144,1109
145,98
146,780
147,326
148,525
149,890
150,18
151,134
152,99
153,859
154,784
155,1165
156,1065
157,309
158,1109
159,912
160,775
161,1062
162,516
163,661
164,403
165,844
166,363
167,180
168,511
169,254
170,966
171,814
172,80
173,733
174,1014
175,1040
176,278
177,980
178,935
179,939
180,802
181,959
182,109
183,1064
184,521
185,765
186,632
187,20
188,875
189,418
190,529
191,557
192,567
193,913
194,859
195,857
196,882
197,682
198,1095
199,1019
200,429
201,561
202,712
203,1112
204,804
205,275
206,953
207,486
208,864
209,336
210,564
211,699
212,379
213,1092
214,855
215,1067
216,718
217,933
218,923
219,154
220,1121
221,410
222,222
223,663
224,895
225,897
226,96
227,604
228,76
229,1179
230,1072
231,392
232,138
233,262
234,1181
235,250
236,1180
237,514
238,434
239,106
240,38
241,875
242,825
243,610
244,511
245,358
246,214
247,271
248,567
249,236
250,1117
251,1127
252,224
253,7
254,338
255,482
256,90
257,1157
258,162
259,984
260,1091
261,782
262,460
263,1113
264,366
265,444
266,617
267,82
268,46
269,235
270,254
271,214
272,763
273,583
274,325
275,777
276,315
277,144
278,765
279,713
280,962
281,932
282,1077
283,9
284,1001
285,273
286,728
287,153
288,940
289,380
290,725
291,470
292,168
293,585
294,723
295,1014
296,993
297,217
298,363
299,92
300,1126
301,68
302,1086
303,859
304,369
305,123
306,406
307,1075
308,777
309,113
310,57
311,386
312,219
313,930
314,98
315,790
316,1075
317,30
318,948
319,437
320,530
321,753
322,1016
323,918
324,353
325,644
326,795
327,619
328,450
329,564
330,709
331,760
332,737
333,410
334,711
335,720
336,135
337,469
338,508
339,1106
340,395
341,844
342,86
343,337
344,761
345,436
346,278
347,203
348,680
349,256
350,31
351,753
352,241
353,402
354,423
355,401
356,784
357,73
358,514
359,1059
360,673
361,169
362,351
363,996
364,771
365,709
366,1139
367,828
368,1043
369,518
370,675
371,201
372,929
373,1198
374,419
375,422
376,218
377,55
378,193
379,920
380,144
381,1044
382,17
383,131
384,1102
385,544
386,974
387,145
388,917
389,1199
390,119
391,413
392,1143
393,1165
394,828
395,1054
396,532
397,1064
398,534
399,970
400,1006
401,196
402,918
403,106
404,798
405,717
406,116
407,583
408,802
409,110
410,795
411,1170
412,602
413,87
414,865
415,985
416,168
417,612
418,991
419,1150
420,61
421,247
422,618
423,550
424,864
425,286
426,834
427,718
428,603
429,945
430,826
431,1008
432,997
433,508
434,86
435,922
436,365
437,815
438,739
439,363
440,521
441,929
442,505
443,534
444,1026
445,744
446,196
447,1066
448,57
449,888
450,189
451,732
452,232
453,794
454,69
455,532
456,450
457,993
458,183
459,698
460,1155
461,173
462,799
463,86
464,338
465,1130
466,1072
467,771
468,11
469,647
470,969
471,678
472,158
473,806
474,1156
475,281
476,363
477,650
478,1041
479,1047
480,486
481,927
482,374
483,789
484,512
485,108
486,1180
487,985
488,445
489,396
490,855
491,503
492,1181
493,450
494,1054
495,1195
496,1012
497,521
498,358
499,227
500,120
501,887
502,5
503,564
504,646
505,610
506,514
507,19
508,714
509,147
510,1001
511,729
512,762
513,531
514,752
515,346
516,677
517,56
