idn,idm
1,31
2,167
3,2018
4,1379
5,3471
6,2049
7,444
8,1871
9,3617
10,3897
11,1244
12,1190
13,1947
14,1953
15,3850
16,1472
17,3934
18,3337
19,1132
20,2743
21,3675
22,2641
23,3608
24,2927
25,327
26,3615
27,130
28,727
29,3674
30,828
31,1908
32,1738
33,1219
34,807
35,1506
36,3856
37,3597
38,94
39,1364
40,1934
41,2180
42,3388
43,2148
44,3247
45,590
46,1784
47,2022
48,1929
49,133
50,2318
51,924
52,2891
53,1953
54,3387
55,73
56,3700
57,711
58,207
59,3172
60,1587
61,1492
62,1890
63,546
64,3797
65,3193
66,3120
67,1339
68,1491
69,287
70,912
71,2043
72,1350
73,391
74,2971
75,3217
76,1239
77,200
78,3694
79,561
80,3452
81,3441
82,943
83,1138
84,3671
85,2587
86,3321
87,1093
88,3584
89,1308
90,2671
91,2905
92,288
93,970
94,2765
95,2273
96,1414
97,3954
98,3697
99,89
100,2913
101,2591
102,2559
103,3799
104,1145
105,671
106,653
107,1056
108,3727
109,3741
110,3867
111,1152
112,153
113,2407
114,3540
115,520
116,2490
117,1907
118,3617
119,830
120,1903
121,2484
122,324
123,2091
124,3582
125,1309
126,1763
127,2942
128,3683
129,3727
130,2172
131,807
132,2381
133,635
134,36
135,1083
136,3136
137,3453
138,1564
139,2665
140,3058
141,753
142,2866
143,3582
144,2682
145,2124
146,783
147,798
148,1616
149,2683
150,2530
151,3342
152,2130
153,324
154,1809
155,374
156,2975
157,152
158,1506
159,2398
160,2024
161,2453
162,1107
163,3842
164,968
165,1958
166,462
167,2954
168,443
169,1000
170,3438
171,2553
172,554
173,1017
174,1124
175,3512
176,1959
177,2722
178,3887
179,3825
180,3281
181,452
182,1380
183,3723
184,2094
185,187
186,1313
187,3580
188,2946
189,2127
190,2782
191,2254
192,3136
193,3899
194,3219
195,1137
196,1497
197,1198
198,2650
199,1604
200,356
201,1425
202,1640
203,160
204,3392
205,1926
206,3674
207,195
208,1942
209,3751
210,3036
211,1267
212,1700
213,3004
214,248
215,2892
216,3879
217,1844
218,3260
219,1436
220,3373
221,186
222,3247
223,2722
224,1118
225,3428
226,1214
227,3287
228,1396
229,60
230,3890
231,3391
232,3631
233,1749
234,261
235,3570
236,460
237,3925
238,3269
239,3192
240,3917
241,3431
242,2142
243,104
244,3626
245,2297
246,1826
247,597
248,2668
249,1308
250,380
251,3371
252,2623
253,243
254,187
255,1599
256,2713
257,3299
258,662
259,2750
260,3235
261,3334
262,2600
263,2318
264,1409
265,2090
266,433
267,2532
268,354
269,1889
270,461
271,22
272,3494
273,2986
274,1355
275,2876
276,3605
277,2614
278,3234
279,1346
280,3298
281,1114
282,3101
283,1583
284,657
285,2492
286,2066
287,2204
288,1488
289,655
290,2075
291,1045
292,2710
293,2614
294,837
295,1506
296,2355
297,522
298,1965
299,2022
300,1832
301,1218
302,2363
303,191
304,1928
305,189
306,1631
307,3481
308,2468
309,869
310,19
311,3403
312,3178
313,3075
314,1665
315,1361
316,2063
317,3607
318,3976
319,2354
320,1869
321,874
322,2885
323,2920
324,712
325,1541
326,3469
327,883
328,61
329,1661
330,483
331,3329
332,2789
333,3407
334,1951
335,3495
336,2827
337,277
338,669
339,1827
340,929
341,3774
342,800
343,920
344,1114
345,1973
346,3568
347,2100
348,2458
349,51
350,990
351,568
352,1259
353,903
354,3049
355,50
356,1596
357,220
358,3459
359,1204
360,3516
361,1945
362,3417
363,3655
364,3203
365,3749
366,3817
367,2388
368,1202
369,742
370,3169
371,3571
372,62
373,993
374,2075
375,1532
376,3539
377,1997
378,2665
379,3457
380,1568
381,1180
382,668
383,3469
384,2709
385,2806
386,3328
387,2157
388,2849
389,2898
390,191
391,2696
392,2287
393,1096
394,3712
395,2565
396,2856
397,1939
398,563
399,2445
400,126
401,1882
402,169
403,1692
404,1338
405,635
406,2247
407,2302
408,3855
409,3987
410,726
411,1121
412,3676
413,327
414,3063
415,1404
416,662
417,2366
418,2945
419,564
420,187
421,2833
422,1557
423,949
424,1914
425,308
426,1900
427,1433
428,2964
429,157
430,656
431,2082
432,2536
433,3461
434,310
435,2770
436,300
437,2574
438,898
439,22
440,3638
441,2154
442,3132
443,2744
444,3739
445,2860
446,429
447,773
448,2060
449,3825
450,2211
451,2748
452,2763
453,1529
454,3761
455,121
456,1656
457,2266
458,614
459,17
460,2116
461,20
462,314
463,994
464,3676
465,186
466,3662
467,1878
468,1842
469,2652
470,3636
471,1129
472,1387
473,1256
474,2517
475,3681
476,2787
477,1404
478,2724
479,759
480,3160
481,942
482,3666
483,3525
484,3477
485,160
486,1874
487,1303
488,2082
489,321
490,1037
491,2330
492,2028
493,3731
494,1035
495,659
496,258
497,294
498,2496
499,2750
500,1826
501,934
502,875
503,114
504,527
505,3048
