nameP,gender,weightP,birthDate,roomNumber
stool,m,38,1995-6-5,340
stereo,f,0,1971-4-14,1146
herbs,f,8,1975-11-26,1089
civilisation,m,14,1997-9-22,538
monitor,m,21,1976-2-17,203
doc,m,34,1977-6-11,1279
independence,f,15,1999-12-6,1467
digging,m,29,1986-10-5,1020
sonnet,m,18,2001-8-3,1267
nourishment,f,20,1997-1-28,612
physiology,m,35,2000-12-16,1292
negotiate,f,20,1978-6-12,1132
aggression,m,11,1975-3-7,708
hysterical,f,40,1982-9-23,1404
culture,f,5,2000-3-28,242
spiffy,f,31,1985-10-25,1228
welfare,m,27,1993-6-27,172
crepe,f,10,1989-10-23,948
dissonance,m,29,1977-5-27,662
butane,f,39,1987-8-23,1408
lean,m,18,1990-3-6,701
ballet,m,35,1990-4-12,1286
presence,m,7,1995-8-22,1108
chop,f,12,2002-8-12,1166
bloody,m,9,1979-1-27,581
latency,m,28,1990-8-16,1478
fountain,m,37,1995-7-14,1062
mower,m,16,1978-12-13,589
prelude,f,36,2002-8-21,1455
radiosonde,m,13,1988-6-2,753
media,m,4,1980-4-25,613
tulip,m,20,1987-10-13,1251
struggle,m,29,1995-7-10,889
quart,m,0,1978-10-2,1447
let,f,33,1971-2-8,786
ephemeris,m,8,1987-12-3,1273
smiling,f,11,1997-5-13,1382
prescribe,f,2,1994-1-20,1334
rag,m,32,1972-4-7,1493
craftsman,f,31,1978-1-7,1174
crayon,f,15,1972-5-13,179
skip,m,13,1998-11-6,29
deliberation,m,12,1976-10-6,160
grace,f,28,1981-6-23,451
cartload,m,31,1992-9-25,450
leveret,f,13,1997-3-19,272
mutt,f,35,1977-1-26,962
limb,m,31,1973-3-3,1285
rid,m,39,1984-8-6,552
brisket,m,12,1980-6-27,391
consent,m,38,1980-8-21,1183
bite,f,35,1972-6-20,175
undertaker,m,17,2002-8-7,419
snobbish,m,13,1974-2-10,361
investigator,m,21,1970-2-17,644
playwright,m,17,2001-12-9,768
meet,m,3,1999-9-14,862
bribery,m,11,1977-11-6,684
flawless,f,4,1989-5-8,1104
history,m,29,1985-3-28,31
mouser,m,34,1991-7-17,474
key,m,3,1971-9-9,139
resale,m,14,1994-3-7,806
grubby,f,35,2000-9-27,795
anyone,f,32,1991-3-3,90
lip,f,6,1975-8-19,374
steer,f,40,1988-3-14,753
palace,f,34,1996-11-9,545
absence,m,14,1980-4-1,88
account,m,14,1996-10-25,1497
excellence,f,11,1988-6-18,567
compensation,f,11,1995-1-13,18
seizure,m,12,2002-5-17,1319
veal,m,3,2000-8-24,995
claim,f,18,1993-8-16,715
advise,m,33,1992-8-16,289
login,m,5,1983-2-4,1119
thermostat,f,26,1974-2-4,773
occupation,m,10,1975-1-12,880
tactics,f,25,1973-4-21,158
houseboat,f,39,1981-5-8,278
lox,m,29,1997-9-4,831
institution,f,38,1984-9-28,539
fair,m,2,1992-9-3,1056
host,m,18,1981-4-17,202
vegetable,m,37,2002-8-16,677
acrid,m,16,1991-6-10,458
potato,f,27,1976-1-17,989
hug,f,22,2000-3-7,1351
wine,f,14,1984-5-5,1227
coffee,f,37,1979-9-11,41
counter-force,f,33,2000-8-8,849
pseudocode,m,6,1983-6-21,842
hydraulics,f,27,1995-9-1,146
booster,m,27,1982-2-21,1328
shoulder,m,11,1982-7-12,550
tandem,m,29,1986-3-15,534
goodbye,f,34,1998-8-15,163
blackness,m,9,1973-9-10,1123
leaker,f,31,1987-12-24,659
obscene,f,12,1974-2-21,346
value,m,33,1993-3-23,1455
effector,m,24,2000-1-3,1320
talent,f,13,1977-12-2,534
nondescript,m,5,1999-3-20,776
caboose,m,28,1984-9-16,137
doll,f,33,1987-7-18,1373
wood,f,37,1992-3-5,676
Early,f,40,1997-7-2,860
spank,m,11,2001-9-9,528
spin,f,9,1975-4-12,57
geranium,m,13,1977-3-27,770
disco,m,20,2001-1-28,1151
waiver,f,7,2000-12-7,1170
blast,m,8,2001-1-4,1026
bandana,f,13,1986-6-17,848
safety,m,11,1972-10-10,3
magenta,m,10,1996-3-24,312
normal,f,8,1993-10-26,439
salty,m,1,2000-3-18,485
marimba,f,32,1990-4-12,328
reform,m,29,1992-1-21,1165
glacier,f,34,1997-5-4,751
pancake,m,4,1984-11-4,304
carbon,f,3,1999-9-18,338
purring,f,7,1989-1-26,685
fierce,f,27,1990-8-9,565
curtain,m,12,1976-11-18,1130
washtub,m,11,1976-4-16,10
pupil,m,5,1985-8-1,133
horst,f,5,1996-11-27,237
TV,f,29,2001-7-19,1065
frosting,f,25,1976-6-2,1391
grind,m,17,1977-7-6,1154
craven,m,12,1997-5-25,1330
blind,m,29,1996-6-23,683
cannibal,m,24,2000-4-16,919
lanai,f,18,1996-9-8,237
gigantic,m,39,2002-8-2,381
commission,f,21,1998-11-20,765
glut,f,22,1976-8-6,767
savage,m,3,1970-12-12,439
camper,f,15,1975-3-20,1124
clerk,m,23,1992-9-11,443
rehabilitate,f,23,1979-11-7,1131
oncology,f,22,1971-7-3,1355
glow,f,7,1974-10-24,201
visual,m,18,1995-10-24,1316
ubiquitous,f,12,1994-8-11,201
fanatical,m,35,1993-8-7,77
enthusiasm,f,29,1999-3-8,1377
beef,m,12,1993-6-13,1436
order,m,28,1983-7-22,414
helmet,f,15,1988-2-20,1289
birdhouse,m,10,1979-2-19,509
batting,m,32,1995-10-5,107
damp,m,29,1972-2-6,1485
majority,m,0,1971-2-6,177
microphone,m,37,1993-10-26,242
hexagon,f,17,1976-11-6,1350
wealthy,m,11,2000-10-8,555
fiery,f,22,1987-5-26,633
reunion,m,8,1973-11-24,106
gopher,m,18,1999-5-9,463
monster,m,20,1983-12-5,212
cycle,m,13,1999-10-14,774
desire,f,8,1993-10-5,1219
tram,m,38,1977-8-11,544
gravel,m,25,1976-6-22,151
